m/z	z	Intensity	Peptide #	Ion Type	Index	Charge	Elem Comp	Error
206.6000	1	0	1	y	4	2	C17 H30 N7 O5	-91
206.6400	1	0	1	y	4	2	C17 H30 N7 O5	103
206.6800	1	0	1	y	4	2	C17 H30 N7 O5	296
206.7200	1	0						
206.7600	1	0						
206.8000	1	0						
206.8400	1	0						
206.8800	1	0						
206.9200	1	0						
206.9600	1	0						
207.0000	1	0						
207.0400	1	0						
207.0800	1	0						
207.1200	1	0						
207.1600	1	0						
207.2000	1	0						
207.2400	1	0						
207.2800	1	0						
207.3200	1	0						
207.3600	1	0						
207.4000	1	0						
207.4400	1	0						
207.4800	1	0						
207.5200	1	0						
207.5600	1	0						
207.6000	1	0						
207.6400	1	0						
207.6800	1	0						
207.7200	1	0						
207.7600	1	0						
207.8000	1	0						
207.8400	1	0						
207.8800	1	0						
207.9200	1	0						
207.9600	1	7.70e-5						
208.0000	1	3.25e-4						
208.0400	1	4.37e-4						
208.0800	1	6.07e-4						
208.1200	1	4.15e-4						
208.1600	1	1.57e-4						
208.2000	1	3.70e-5						
208.2400	1	2.00e-6						
208.2800	1	0						
208.3200	1	0						
208.3600	1	0						
208.4000	1	0						
208.4400	1	0						
208.4800	1	0						
208.5200	1	0						
208.5600	1	0						
208.6000	1	0						
208.6400	1	0						
208.6800	1	0						
208.7200	1	0						
208.7600	1	0						
208.8000	1	0						
208.8400	1	0						
208.8800	1	1.00e-6						
208.9200	1	3.50e-4						
208.9600	1	6.31e-4						
209.0000	1	7.54e-4						
209.0400	1	9.23e-4						
209.0800	1	4.70e-4						
209.1200	1	1.41e-4						
209.1600	1	2.40e-5						
209.2000	1	0						
209.2400	1	0						
209.2800	1	0						
209.3200	1	0						
209.3600	1	0						
209.4000	1	0						
209.4400	1	0						
209.4800	1	0						
209.5200	1	0						
209.5600	1	0						
209.6000	1	0						
209.6400	1	0						
209.6800	1	0						
209.7200	1	0						
209.7600	1	0						
209.8000	1	0						
209.8400	1	0						
209.8800	1	0						
209.9200	1	0						
209.9600	1	0						
210.0000	1	0						
210.0400	1	0						
210.0800	1	0						
210.1200	1	2.51e-4						
210.1600	1	7.83e-4						
210.2000	1	5.46e-4						
210.2400	1	1.87e-4						
210.2800	1	4.20e-5						
210.3200	1	0						
210.3600	1	0						
210.4000	1	0						
210.4400	1	0						
210.4800	1	0						
210.5200	1	0						
210.5600	1	0						
210.6000	1	0						
210.6400	1	0						
210.6800	1	0						
210.7200	1	0						
210.7600	1	0						
210.8000	1	0						
210.8400	1	0						
210.8800	1	0						
210.9200	1	0						
210.9600	1	0						
211.0000	1	0						
211.0400	1	0						
211.0800	1	0						
211.1200	1	2.27e-4						
211.1600	1	5.75e-4						
211.2000	1	7.43e-4						
211.2400	1	4.90e-4						
211.2800	1	1.75e-4						
211.3200	1	4.00e-5						
211.3600	1	0						
211.4000	1	0						
211.4400	1	0						
211.4800	1	0						
211.5200	1	0						
211.5600	1	0						
211.6000	1	0						
211.6400	1	0						
211.6800	1	0						
211.7200	1	0						
211.7600	1	0						
211.8000	1	0						
211.8400	1	0						
211.8800	1	0						
211.9200	1	1.30e-5						
211.9600	1	4.53e-4						
212.0000	1	0.00125						
212.0400	1	0.00102						
212.0800	1	5.52e-4						
212.1200	1	7.16e-4						
212.1600	1	6.12e-4						
212.2000	1	2.83e-4						
212.2400	1	7.80e-5						
212.2800	1	1.00e-5						
212.3200	1	0						
212.3600	1	0						
212.4000	1	0						
212.4400	1	0						
212.4800	1	0						
212.5200	1	0						
212.5600	1	0						
212.6000	1	0						
212.6400	1	0						
212.6800	1	0						
212.7200	1	0						
212.7600	1	0						
212.8000	1	0						
212.8400	1	0						
212.8800	1	0						
212.9200	1	0						
212.9600	1	0						
213.0000	1	0						
213.0400	1	3.42e-4						
213.0800	1	6.45e-4						
213.1200	1	3.61e-4						
213.1600	1	1.17e-4						
213.2000	1	1.60e-5						
213.2400	1	0						
213.2800	1	0						
